date,actual,0_days_out,1_days_out,2_days_out,3_days_out,4_days_out,5_days_out,6_days_out,7_days_out,8_days_out,9_days_out,10_days_out,11_days_out,12_days_out,13_days_out,14_days_out,15_days_out
2025-07-14,0.0,,,,,,,,,,,,,,,,
2025-07-15,0.0,,,,,,,,,,,,,,,,
2025-07-16,0.0,,,,,,,,,,,,,,,,
2025-07-17,0.0,4.0,,,,,,,,,,,,,,,
2025-07-18,0.0,11.0,11.0,,,,,,,,,,,,,,
2025-07-19,0.0,14.0,14.0,14.0,,,,,,,,,,,,,
2025-07-20,False,6.0,6.0,6.0,6.0,,,,,,,,,,,,
2025-07-21,False,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,
2025-07-22,False,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,,,
2025-07-23,False,0.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,
2025-07-24,False,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,
2025-07-25,,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,
2025-07-26,,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,
2025-07-27,,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,3.0,3.0,,,,,,
2025-07-28,,,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,5.0,,,,,,
2025-07-29,,,,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,,,,,,
2025-07-30,,,,,5.0,5.0,5.0,5.0,5.0,10.0,10.0,,,,,,
2025-07-31,,,,,,10.0,10.0,10.0,10.0,10.0,16.0,,,,,,
2025-08-01,,,,,,,14.0,14.0,14.0,14.0,14.0,,,,,,
2025-08-02,,,,,,,,14.0,14.0,14.0,14.0,14.0,,,,,
2025-08-03,,,,,,,,,9.0,9.0,9.0,9.0,9.0,,,,
2025-08-04,,,,,,,,,,6.0,6.0,6.0,6.0,6.0,,,
2025-08-05,,,,,,,,,,,11.0,11.0,11.0,11.0,11.0,,
2025-08-06,,,,,,,,,,,,13.0,13.0,13.0,13.0,13.0,
2025-08-07,,,,,,,,,,,,,13.0,13.0,13.0,13.0,13.0
